mountain,file_name,direction,state,region,difficulty,ease,vert,trail_count,lift_count,blacklist
Bogus Basin,bogus_basin.osm,e,ID,west,27.1,9.8,549.0,51,9,
Bolton Valley,bolton_valley.osm,e,VT,northeast,28.1,8.7,474.0,78,6,
Bousquet,bousquet.osm,n,MA,northeast,23.6,14.6,213.0,18,4,
Breckenridge,breckenridge.osm,w,CO,west,41.6,6.0,997.0,208,29,
Bretton Woods,bretton_woods.osm,n,NH,northeast,28.9,6.0,426.0,118,10,
Bridger Bowl,bridger_bowl.osm,w,MT,west,36.1,10.1,732.0,62,10,
Brighton,brighton.osm,n,UT,west,38.6,12.6,523.0,73,7,
Bristol,bristol.osm,w,NY,northeast,22.8,6.8,349.0,38,6,
Bromley,bromley.osm,s,VT,northeast,27.6,11.5,394.0,49,8,
Bryce Resort,bryce_resort.osm,n,VA,southeast,19.2,17.8,125.0,6,5,
Burke,burke.osm,n,VT,northeast,31.1,14.0,600.0,62,6,
Buttermilk,buttermilk.osm,n,CO,west,23.6,11.6,612.0,44,6,
Camelback,camelback.osm,n,PA,northeast,25.6,9.1,272.0,35,12,
Campgaw,campgaw.osm,w,NJ,northeast,18.4,10.4,75.0,13,7,
Canaan Valley,canaan_valley.osm,n,WV,southeast,21.7,9.7,256.0,30,3,
